ticker,company
AAPL,Apple Inc.
BA,The Boeing Company
CAT,Caterpillar Inc.
CRM,"Salesforce.com, Inc."
CSCO,"Cisco Systems, Inc."
CVX,Chevron Corporation
DIS,The Walt Disney Company
DOW,Dow Inc.
GS,"The Goldman Sachs Group, Inc."
HD,"The Home Depot, Inc."
IBM,International Business Machines Corporation
INTC,Intel Corporation
JNJ,Johnson & Johnson
JPM,JPMorgan Chase & Co.
KO,The Coca-Cola Company
MCD,McDonald's Corporation
MMM,3M Company
MRK,"Merck & Co., Inc."
MSFT,Microsoft Corporation
NKE,"NIKE, Inc."
PG,The Procter & Gamble Company
TRV,"The Travelers Companies, Inc."
UNH,UnitedHealth Group Incorporated
V,Visa Inc.
VZ,Verizon Communications Inc.
WBA,"Walgreens Boots Alliance, Inc."
XOM,Exxon Mobil Corporation
PFE,Pfizer Inc.
AMGN,"Amgen, Inc."
RTX,Raytheon
AXP,American Express Company
WMT,Walmart Inc.
